epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,967.829,0.63813,1.28697,0.81139,1.02888,0.68707,0.5294,0.60441,0.51138,0.69291,0.53182,0.59931,0.49577,1.05778,2.58951,1.63472,1.30598,0.00102887,0.00102887,0.00102887
31,1000.82,0.62934,1.24268,0.76311,1.01941,0.66677,0.63448,0.6175,0.50385,0.6682,0.63223,0.60912,0.48904,1.03149,2.84854,1.6065,1.28327,0.00100687,0.00100687,0.00100687
32,1028.96,0.64761,1.3208,0.77018,1.02681,0.70174,0.6219,0.64085,0.54086,0.71564,0.61707,0.62709,0.51404,0.9862,3.04875,1.52206,1.27361,0.000984864,0.000984864,0.000984864
33,1058.79,0.62218,1.18707,0.76162,1.01591,0.74589,0.57787,0.60396,0.51196,0.74589,0.57787,0.60455,0.50544,1.02037,2.61046,1.81707,1.27355,0.000962859,0.000962859,0.000962859
34,1089.12,0.61623,1.13862,0.74275,1.01162,0.69106,0.61223,0.62119,0.53171,0.66182,0.62427,0.60997,0.49936,0.97457,2.89855,1.58812,1.2131,0.000940855,0.000940855,0.000940855
35,1123.57,0.58916,1.14993,0.73221,0.99563,0.63447,0.67762,0.64595,0.57033,0.62353,0.68982,0.63819,0.55151,0.95425,2.72154,1.53677,1.21696,0.00091885,0.00091885,0.00091885
36,1156.67,0.5968,1.17682,0.73418,0.99691,0.68581,0.7163,0.70566,0.60154,0.68361,0.70683,0.69323,0.57434,0.95838,2.74735,1.42096,1.23432,0.000896846,0.000896846,0.000896846
37,1190.48,0.59335,1.11444,0.72645,0.99642,0.69285,0.62278,0.65764,0.56496,0.69943,0.61977,0.65304,0.54229,0.96447,2.84129,1.43552,1.21125,0.000874842,0.000874842,0.000874842
38,1224.75,0.58889,1.07253,0.7068,0.98711,0.82782,0.59589,0.66898,0.58543,0.72932,0.63725,0.66357,0.55721,0.90596,2.83112,1.40561,1.16997,0.000852837,0.000852837,0.000852837
39,1258.42,0.58634,1.13785,0.69959,0.99434,0.66794,0.66715,0.69106,0.59125,0.68057,0.65809,0.68416,0.56976,0.97011,2.77024,1.43395,1.25243,0.000830833,0.000830833,0.000830833
40,1290.82,0.57481,1.0808,0.66713,0.98613,0.62545,0.6592,0.63659,0.56462,0.62545,0.6592,0.63208,0.53171,0.92458,3.03784,1.55128,1.20601,0.000808828,0.000808828,0.000808828
41,1324.71,0.5585,1.07615,0.67963,0.98087,0.70095,0.62436,0.64345,0.56229,0.69908,0.62551,0.64154,0.54224,0.93015,2.7306,1.74254,1.21434,0.000786824,0.000786824,0.000786824
42,1359.66,0.56008,1.06543,0.64884,0.97289,0.72149,0.57288,0.64821,0.56675,0.72399,0.5753,0.64467,0.54996,0.84351,2.60336,1.54184,1.13232,0.00076482,0.00076482,0.00076482
43,1392.34,0.55934,1.07671,0.66571,0.97849,0.63239,0.67896,0.68195,0.58458,0.67091,0.66221,0.68768,0.55027,0.916,2.73949,1.5181,1.21598,0.000742815,0.000742815,0.000742815
44,1425.4,0.53819,1.0385,0.62353,0.96923,0.68499,0.65705,0.68171,0.57838,0.68914,0.65946,0.67929,0.54261,0.97389,2.89812,1.39407,1.28959,0.000720811,0.000720811,0.000720811
45,1460.64,0.55402,1.04664,0.62911,0.97868,0.64465,0.72331,0.67112,0.57852,0.64172,0.7178,0.6659,0.54928,0.91853,3.01835,1.48916,1.22238,0.000698806,0.000698806,0.000698806
46,1494.44,0.53264,0.97902,0.61299,0.96201,0.71149,0.64189,0.6645,0.5707,0.69727,0.63739,0.64964,0.53669,0.90811,2.85483,1.43618,1.19111,0.000676802,0.000676802,0.000676802
47,1528.18,0.53713,1.00676,0.93139,0.96409,0.65664,0.68258,0.66098,0.57092,0.65906,0.68258,0.65445,0.5322,0.94256,2.95759,1.54623,1.21182,0.000654798,0.000654798,0.000654798
48,1562.16,0.5378,0.98172,0.62158,0.96961,0.6472,0.63289,0.62299,0.54322,0.64458,0.63533,0.62582,0.51102,0.91394,2.71364,1.68205,1.18196,0.000632793,0.000632793,0.000632793
49,1594.7,0.51896,0.96352,0.58334,0.96611,0.66056,0.64337,0.63411,0.5627,0.66056,0.64337,0.6317,0.52411,0.95061,3.13831,1.5936,1.23512,0.000610789,0.000610789,0.000610789
50,1627.15,0.53253,0.97,0.58594,0.9641,0.68897,0.61807,0.64938,0.56158,0.67694,0.61082,0.64196,0.52479,0.91239,2.91128,1.57966,1.1929,0.000588784,0.000588784,0.000588784
51,1659.99,0.52021,0.98091,0.5851,0.95917,0.74483,0.64317,0.68526,0.59526,0.73772,0.64458,0.67883,0.57718,0.96819,2.81608,1.47804,1.2455,0.00056678,0.00056678,0.00056678
52,1694.05,0.51118,0.91882,0.58548,0.9587,0.69549,0.64014,0.6632,0.57538,0.68497,0.635,0.65017,0.54848,0.93609,2.74257,1.6068,1.22215,0.000544776,0.000544776,0.000544776
