epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,907.113,0.54813,0.61469,0.97514,0.64652,0.65292,0.63072,0.53863,0.92846,1.64696,1.21118,0.00076482,0.00076482,0.00076482
43,928.947,0.55264,0.62949,0.98296,0.61739,0.67927,0.63936,0.55297,0.87893,1.60667,1.19422,0.000742815,0.000742815,0.000742815
44,950.847,0.53076,0.59446,0.97004,0.67532,0.65568,0.64744,0.56048,0.89967,1.49952,1.20419,0.000720811,0.000720811,0.000720811
45,972.804,0.53408,0.59588,0.97139,0.75037,0.61944,0.64605,0.55159,0.94162,1.57922,1.22928,0.000698806,0.000698806,0.000698806
46,994.828,0.52178,0.58047,0.96176,0.78032,0.58841,0.6619,0.56721,0.9463,1.55821,1.21163,0.000676802,0.000676802,0.000676802
47,1016.82,0.52948,0.72636,0.96393,0.74629,0.54857,0.61795,0.53871,0.96732,1.77532,1.24367,0.000654798,0.000654798,0.000654798
48,1038.9,0.52869,0.59115,0.97068,0.72038,0.60391,0.6453,0.56082,0.94008,1.58255,1.22949,0.000632793,0.000632793,0.000632793
49,1061.08,0.51151,0.55623,0.97005,0.68342,0.60874,0.60741,0.53977,0.87644,1.66057,1.1948,0.000610789,0.000610789,0.000610789
50,1083.37,0.5151,0.55141,0.96064,0.73482,0.59947,0.62966,0.55242,0.91983,1.58392,1.21318,0.000588784,0.000588784,0.000588784
51,1106.3,0.50657,0.53158,0.95923,0.67049,0.6583,0.65283,0.56324,0.90897,1.49736,1.21647,0.00056678,0.00056678,0.00056678
52,1129.17,0.50322,0.54614,0.95596,0.71343,0.62081,0.62099,0.53953,0.91521,1.67788,1.23576,0.000544776,0.000544776,0.000544776
53,1151.96,0.49576,0.51979,0.9531,0.69466,0.60045,0.5947,0.52713,0.91326,1.84351,1.2058,0.000522771,0.000522771,0.000522771
54,1174.63,0.50165,0.55896,0.96063,0.81469,0.60348,0.66519,0.58981,0.92311,1.61208,1.25433,0.000500767,0.000500767,0.000500767
55,1197.4,0.47629,0.48958,0.94498,0.76302,0.60874,0.6346,0.56542,0.92013,1.66502,1.23773,0.000478762,0.000478762,0.000478762
56,1220.23,0.47138,0.49808,0.94492,0.73578,0.61115,0.64081,0.57011,0.86989,1.69196,1.15377,0.000456758,0.000456758,0.000456758
57,1242.68,0.47959,0.50412,0.9429,0.72709,0.61357,0.62885,0.55393,0.91765,1.67918,1.20005,0.000434754,0.000434754,0.000434754
58,1264.76,0.46569,0.48272,0.93389,0.70883,0.59666,0.61045,0.53858,0.95085,1.89795,1.22145,0.000412749,0.000412749,0.000412749
59,1286.74,0.46309,0.46821,0.93956,0.71602,0.62565,0.62761,0.55498,0.87443,1.74334,1.17295,0.000390745,0.000390745,0.000390745
60,1308.99,0.46443,0.47022,0.93891,0.78476,0.58941,0.62376,0.53938,0.90009,1.65218,1.17394,0.00036874,0.00036874,0.00036874
61,1331.17,0.48131,0.49781,0.96254,0.69282,0.63048,0.64412,0.55638,0.92128,1.73644,1.2251,0.000346736,0.000346736,0.000346736
62,1353.32,0.452,0.45883,0.93138,0.71931,0.61068,0.62945,0.55524,0.91006,1.78222,1.18855,0.000324732,0.000324732,0.000324732
63,1375.17,0.44266,0.43793,0.93606,0.75956,0.57682,0.60795,0.53623,0.86858,1.74794,1.14651,0.000302727,0.000302727,0.000302727
64,1397.12,0.44625,0.45767,0.92853,0.75035,0.60632,0.64762,0.57379,0.8999,1.6874,1.17837,0.000280723,0.000280723,0.000280723
65,1419.13,0.43588,0.4504,0.92111,0.7452,0.62081,0.67036,0.5973,0.83856,1.63519,1.15115,0.000258718,0.000258718,0.000258718
66,1469.63,0.42013,0.43775,0.93546,0.69687,0.63152,0.63303,0.55667,0.8797,1.5916,1.17115,0.000236714,0.000236714,0.000236714
67,1491.56,0.38524,0.37014,0.91165,0.68646,0.62081,0.62985,0.56125,0.88021,1.82126,1.15039,0.00021471,0.00021471,0.00021471
68,1513.67,0.39565,0.35161,0.92586,0.72438,0.60337,0.64396,0.57175,0.91947,1.77709,1.21558,0.000192705,0.000192705,0.000192705
69,1535.56,0.39836,0.46048,0.91108,0.71839,0.61115,0.64274,0.57363,0.87193,1.75741,1.17643,0.000170701,0.000170701,0.000170701
70,1557.74,0.36298,0.33361,0.89696,0.77486,0.59183,0.6525,0.58815,0.88422,1.74187,1.18019,0.000148696,0.000148696,0.000148696
71,1580.2,0.34995,0.31719,0.88198,0.65062,0.65705,0.66082,0.58779,0.85706,1.66858,1.16168,0.000126692,0.000126692,0.000126692
72,1602.82,0.34801,0.33014,0.89079,0.69398,0.63531,0.6514,0.57968,0.87664,1.76106,1.1742,0.000104688,0.000104688,0.000104688
73,1625.19,0.35033,0.32902,0.8825,0.68894,0.64497,0.651,0.58241,0.86963,1.70967,1.16632,8.26832e-05,8.26832e-05,8.26832e-05
74,1647.74,0.34244,0.30682,0.88348,0.67234,0.64255,0.64561,0.58113,0.86954,1.79816,1.16626,6.06788e-05,6.06788e-05,6.06788e-05
75,1670.43,0.33777,0.30745,0.8885,0.70261,0.64255,0.64867,0.5833,0.86336,1.78595,1.163,3.86744e-05,3.86744e-05,3.86744e-05
